2010-05-26 23:19:56 Notice: Notice (8): Undefined variable: from in [/home/takuji/project/study/views/studies/add.ctp, line 9]
2010-05-26 23:19:57 Notice: Notice (8): Undefined variable: from in [/home/takuji/project/study/views/studies/add.ctp, line 9]
2010-05-26 23:28:10 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:28:10 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:28:10 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:28:11 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:28:11 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:28:11 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:30:02 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:30:52 Notice: Notice (8): Undefined variable: menu in [/home/takuji/project/study/views/layouts/default.ctp, line 46]
2010-05-26 23:30:52 Notice: Notice (8): Undefined variable: menu in [/home/takuji/project/study/views/layouts/default.ctp, line 47]
2010-05-26 23:30:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:30:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:30:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:00 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:00 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:00 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:32:59 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:26 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:26 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:26 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:29 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:29 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:29 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:33:38 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:34:08 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:34:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:34:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:34:49 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:34:49 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:34:49 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:09 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:22 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:31 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:31 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-26 23:42:31 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:08:05 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:08:40 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:08:40 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/slides/index.ctp, line 10]
2010-05-27 01:08:40 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:08:43 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:08:43 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/slides/index.ctp, line 10]
2010-05-27 01:08:44 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:08:56 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:08:56 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/slides/index.ctp, line 10]
2010-05-27 01:08:56 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:09:16 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:10:24 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:10:51 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:10:51 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:10:51 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:11:23 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:11:23 Notice: Notice (8): Undefined variable: hatena in [/home/takuji/project/study/views/slides/index.ctp, line 18]
2010-05-27 01:11:23 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:11:24 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:11:40 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:11:51 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:11:52 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:11:58 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:12:07 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:12:15 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/home/takuji/project/cake/cake/libs/cake_session.php, line 595]
2010-05-27 01:12:15 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:12:15 Notice: Notice (8): Undefined variable: hatena in [/home/takuji/project/study/views/slides/index.ctp, line 18]
2010-05-27 01:12:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:12:15 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:13:57 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:13:57 Notice: Notice (8): Undefined variable: hatena in [/home/takuji/project/study/views/slides/index.ctp, line 18]
2010-05-27 01:13:57 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:13:57 Notice: Notice (8): Undefined variable: javascript in [/home/takuji/project/study/views/layouts/default.ctp, line 15]
2010-05-27 01:20:13 Notice: Notice (8): Undefined variable: data in [/home/takuji/project/study/views/slides/index.ctp, line 1]
2010-05-27 01:20:13 Notice: Notice (8): Undefined variable: hatena in [/home/takuji/project/study/views/slides/index.ctp, line 18]
